id,numero_de_estacion,nombre,direccion,barrio,comuna,emplazamiento,latitud,longitud
240,239,VIDAL,Av. Cramer 2900,,,,-34.55813699999999,-58.46725929999999
95,95,ESMERALDA,Av. Antártida Argentina & Cecilia Grierson,,,,-34.59565292709425,-58.36916247929995
30,30,PEÑA,Peña & Azcuenaga,,,,-34.5908211,-58.3973698
121,121,YATAY,925 Yatay& Humahuaca,,,,-34.6011732,-58.4285093
473,216,EMILIO LAMARCA,EMILIO LAMARCA 2066,,,,-34.6134032,-58.4933583
166,166,CEMENTERIO DE RECOLETA,Vicente López 2100,,,,-34.588346663239754,-58.39414794286564
477,311,SEC. DE INNOVACION Y TRANSFORMACIÓN,Av. Caseros 2309,,,,-34.6350046,-58.395053900000015
372,322,MARTÍ Y DIRECTORIO,"404 Marti, Jose",,,,-34.636406,-58.470136
568,342,HONDURAS,Honduras 5190,,,,-34.58755,-58.43196
368,378,AGRONOMIA,Enzo Brdabehere 2897,,,,-34.5999378413251,-58.48132261705781
479,347,CARABOBO,Pumacahua 9,,,,-34.6262877,-58.45530009999998
545,141,DEL BARCO CENTENERA,Del Barco Centenera 741,,,,-34.62780084937208,-58.440321152114855
541,198,AEROPARQUE,Av. Costanera Rafael Obligado,,,,-34.55572,-58.41320999999999
371,269,PLAZA DE LA MISERICORDIA,LAUTARO 400,,,,-34.6317,-58.45534000000001
85,85,AGUERO,"Aguero & Mansilla, Lucio Norberto, General",,,,-34.5948057,-58.4091784
56,56,PLAZA PALERMO VIEJO,Costa Rica & Armenia,,,,-34.588567,-58.42599899999999
138,138,HOSPITAL BRITANICO,153 Perdriel,,,,-34.6353595,-58.3876724
428,225,HOSPITAL TORNU,1052 Avalos,,,,-34.587458,-58.4739506
435,227,CLUB CIUDAD DE BUENOS AIRES,Miguel Sanchez y Av Libertadores,,,,-34.544503,-58.459499
370,305,PLAZA MARTIN RODRIGUEZ,3016 Pareja,,,,-34.590964,-58.500336
22,22,ARENALES,Cerrito & Arenales,,,,-34.5938629,-58.3825498
444,61,MINISTERIO DE ECONOMIA,"Balcarce e Yrigoyen, Hipolito Av.",,,,-34.608936,-58.37071600000001
118,118,MEXICO,Saavedra & Mexico,,,,-34.6170196,-58.4026531
219,140,LAS CASAS,Metan 3661,,,,-34.6360274,-58.4156332
257,264,PLAZA MARCOS SASTRE,Miller & Monroe,,,,-34.570825,-58.48123600000001
309,298,PLAZA DR. JUAN B. TERAN,Nogoya 5525,,,,-34.62141207128675,-58.51978098730659
383,263,PLAZA ECHEVERRIA,Av. Triunvirato 5100 y Nahuel Huapi 5150,,,,-34.5717986,-58.48954089999999
87,87,GUAYAQUIL,Guayaquil & Doblas,,,,-34.619845,-58.4314942
577,326,PICO,Arias 5000,,,,-34.5535868449943,-58.49758664152526
465,192,HOSPITAL SIRIO,Gabriela Mistral 3325 y Campana,,,,-34.5904625,-58.5071166
413,382,MERCADO DE HACIENDA MATADEROS,Av. Lisandro de la Torre 2319,,,,-34.66181712635796,-58.50133009838903
481,369,PLAZA LARRAZABAL,AV. LARRAZABAL 380,,,,-34.6430378,-58.5127001
242,103,MALBA,Av. Pres. Figueroa Alcorta 3451,,,,-34.57694914795284,-58.40398420287857
363,354,JOSÉ MARTÍ,Eva Perón 3321,,,,-34.6439,-58.46311399999999
69,69,ECUADOR,"1226 Ecuador & Mansilla, Lucio Norberto, General",,,,-34.5961006,-58.4046092
518,329,LAS CAÑITAS,Clay 2818,,,,-34.5738986,-58.431782000000005
281,350,PLAZA IRLANDA,Av. Gaona 2200,,,,-34.613778,-58.458315
107,107,HOSPITAL GARRAHAN,Brasil 2290,,,,-34.63037718,-58.39584399999999
200,200,AUSTRIA Y FRENCH,Austria 2075,,,,-34.5882997,-58.40426080000001
176,67,PARQUE SARMIENTO I,Av. Dr. Ricardo Balbín 4402,,,,-34.555254,-58.494845000000005
586,380,NOGOYA,Helguera 2828,,,,-34.60292728119387,-58.492247285861765
158,158,VILLARROEL,1321 Villarroel & Humboldt CABA,,,,-34.592735,-58.4450697
393,300,JOSE ARTIGAS,Av. del Campo 1301,,,,-34.5902732694463,-58.4669322018588
416,257,PLAZA FRANCISCO RAMIREZ,"2700 Pedraza, Manuela",,,,-34.553262,-58.469133
570,30,GIRALT,Av. Int. Hernan M. Giralt y Macacha Gúemes,,,,-34.60463069395953,-58.3608138563446
32,32,CATEDRAL,Bartolomé Mitre & San Martín,,,,-34.60674458045258,-58.37365550287733
265,361,PLAZA DON SEGUNDO SOMBRA,2347 Santander,,,,-34.64196,-58.4505
327,366,VILLA OLÍMPICA,Escalada 4347,,,,-34.677130515662185,-58.454286054001386
237,302,ESTACION VILLA LURO,Virgilio 90,,,,-34.63670935917866,-58.501355258102926
512,195,PARQUE CHAS,Av. De los Incas 4535,,,,-34.5816148,-58.47505689999999
491,266,PLAZA SABATTINI,Honorio Pueyrredón 695 ,,,,-34.61200399005994,-58.44215423439331
153,153,JUAN MANUEL DE BLANES,Av. Almirante Brown 653,,,,-34.6310284,-58.36288800000001
86,86,SAAVEDRA,1019 Saavedra,,,,-34.6212681,-58.4016808
278,233,MONROE,2519 Superi,,,,-34.564122,-58.46981300000001
490,245,COSTANERA NORTE,AV. Costanera Rafael del Obligado 1700,,,,-34.56477054,-58.402021
469,62,PARQUE ONEGA,Av. Gral.Mosconi 3780,,,,-34.5934185,-58.513837
194,194,PERÓN Y ACUÑA DE FIGUEROA,3997 TTE. GENERAL JUAN DOMINGO PERON,,,,-34.6060758,-58.42246349999999
259,290,CLUB EXCURSIONISTAS,Migueletes 1782 (y La Pampa),,,,-34.5591522,-58.4441762
101,101,FITZ ROY,Fitz Roy  1092 & Loyola,,,,-34.5891857,-58.4424397
515,294,PLAZOLETA RÍO DE LA PLATA,Av. Sarmiento 500,,,,-34.57424606980564,-58.41465533223048
60,60,25 DE MAYO,527 25 De Mayo,,,,-34.6016509,-58.37107900000001
2,2,RETIRO I,AV. Dr. José María Ramos Mejía 1300,,,,-34.59242413,-58.37470988999999
436,253,PLAZA COLEGIALES,Tte. Benjamin Matienzo 2886,,,,-34.57653,-58.44348999999999
203,108,USINA DEL ARTE,"Caffarena, Agustin R. & Don Pedro De Mendoza Av.",,,,-34.628757,-58.35625900000001
488,234,AVENIDA TRIUNVIRATO,Av. Triunvirato 5752,,,,-34.5657087,-58.49521839999999
26,26,JUANA MANSO I,"Manso Juana & De La Barra, Emma",,,,-34.600752,-58.3638723
223,178,JOSÉ MARMOL,803 José Marmol,,,,-34.6234,-58.424853
329,100,PLAZA GURRUCHAGA,Gurruchaga 1084,,,,-34.59310953590707,-58.43506630059434
554,211,BLANCO ENCALADA,Blanco Encalada 4118,,,,-34.5698528,-58.4767434
318,285,ESPINOSA,1785 Espinosa,,,,-34.603936,-58.457317
74,74,INSTITUTO LELOIR,Juana De Ibarbourou & Av Patricias Argentinas,,,,-34.60439,-58.43454
164,164,FACULTAD DE INGENIERIA,AV. PASEO COLÓN 811,,,,-34.617301,-58.3698984
585,358,SAN BLAS,Cuenca 1896,,,,-34.6125134752936,-58.48591844047545
187,261,QUINTEROS LIDORO,"1483 Quinteros, Lidoro J. Av.",,,,-34.552571,-58.45089699999999
580,320,PAVON,Maza 1616,,,,-34.629986531384205,-58.41456000555724
434,247,PLAZA LUCIO DEMARE,O`Higgins 3750,,,,-34.54569,-58.465140000000005
248,346,PLAZA ZAPIOLA,2001 Donado,,,,-34.573522,-58.474635
530,31,PARQUE RIVADAVIA,Av Rivadavia 4950,,,,-34.61651103390999,-58.43235024128227
179,179,CASA SAN,Olavarría 811,,,,-34.6384786,-58.3642885
174,174,MINISTERIO DE EDUCACION,Marcelo T. de Alvear & Rodriguez Peña,,,,-34.597225,-58.39176799999999
92,92,SALCEDO,2908 Salcedo & Dean Funes,,,,-34.6316444,-58.4053386
566,306,PLAZA RAVIGNANI,Cnel. Ramón Lista 5200,,,,-34.61325,-58.52286099999999
527,68,AV. CORDOBA,Av. Cordoba 5403,,,,-34.588727,-58.43838599999999
543,139,CASA ROSADA,Av. Alicia Moreau de Justo 861,,,,-34.60748033900249,-58.366741024467466
513,308,SAN MARTIN II,Av. San Martín 5129,,,,-34.5971297,-58.490739000000005
25,25,PLAZA GUEMES,"Salguero, Jeronimo & Mansilla, Lucio Norberto, General",,,,-34.5894269,-58.4161178
132,132,CORRIENTES,Reconquista & Corrientes Av.,,,,-34.6033685,-58.372763
302,340,PLAZA NUEVA POMPEYA,3817 Traful,,,,-34.6518464,-58.41577099999999
449,352,SAN JOSE DE FLORES,Av. Rivadavia 6955,,,,-34.62883578,-58.463297377
144,144,PUEYRREDÓN,684 Boulogne Sur Mer & Tucuman,,,,-34.6018744,-58.4060944
289,255,BARRANCAS DE BELGRANO,"Sucre, Antonio Jose De, Mcal. Y Vertiz Virrey Av.",,,,-34.559801,-58.44831400000001
165,165,PLAZA MONSEÑOR MIGUEL DE ANDREA,Dr Tomas Manuel De  Anchorena &  Jose A. Cabrera,,,,-34.597048,-58.407614
400,313,DE LOS INCAS,Av. de los Incas 4138,,,,-34.57899,-58.46982
474,224,BAIGORRIA,Baigorria 4101,,,,-34.6108915,-58.50301999999999
550,154,LINIERS,Av. Juan Bautista Justo 9710,,,,-34.634808,-58.527098
77,109,ESTACION PUEYRREDON,Bolivia 5071,,,,-34.581135,-58.501487
460,133,BEIRO Y SEGUROLA,Segurola 3194,,,,-34.6075,-58.51193000000001
184,184,PEDRO ECHAGUE,Pedro Echague 1878 & Combate De Los Pozos,,,,-34.6306129,-58.3913419
431,362,PARQUE DE LA MEMORIA,Av. Costanera Rafael Obligado 7200,,,,-34.542628,-58.43691299999999
249,307,LEONARDO PEREYRA,LUZURIAGA 1400,,,,-34.6506468,-58.38723419999999
214,142,ARMENIA Y GORRITI,Armenia 1525 y Gorriti,,,,-34.590541,-58.428974
440,142,ARMENIA,ARMENIA 1525 y GORRITI,,,,-34.5906475,-58.42889899999998
333,203,BEIRO,"Beiro 3572, CABA",,,,-34.6008,-58.50335
68,105,PARQUE SAAVEDRA,García del Río 3590,,,,-34.552148,-58.480464
340,359,PLAZA BALCARCE,Jaramillo 2312,,,,-34.54754,-58.46784399999999
190,190,JUNCAL,"Juncal & Salguero, Jeronimo",,,,-34.5850763,-58.4111136
234,344,UNIVERSIDAD DI TELLA,Figueroa Alcorta 7285,,,,-34.54723249654352,-58.4468016411338
308,251,SOLAR DE LA ABADÍA,Maure 1819,,,,-34.567633,-58.436752000000006
576,328,JARDIN BOTANICO,Santa Fe 4067,,,,-34.581920037923624,-58.420280103862616
116,116,HOSPITAL ALEMÁN, Juncal 2407,,,,-34.59147195496799,-58.40128182310524
231,384,PLAZA BENITO NAZAR,VALENTIN VIRASORO 1349,,,,-34.60511787,-58.445999589
120,120,HOSPITAL RAMOS MEJIA,3084 Agrelo,,,,-34.617509,-58.409287600000006
216,59,CORONEL DIAZ,Guemes 3330 & Coronel Diaz,,,,-34.589968,-58.411493
552,209,DEVOTO,Ricardo Gutierrez 4224,,,,-34.6028514,-58.5126086
241,348,VILLA DEL PARQUE,"Gutierrez, Ricardo 3105",,,,-34.600874,-58.494123
196,196,HOSPITAL ARGERICH,750 Pi y Margall,,,,-34.6277671,-58.36602490000001
548,51,PLAZA SUDAMERICA,Av. Piedrabuena 4901,,,,-34.687767,-58.475178
500,235,COMUNA 13,Ibera 2377,,,,-34.5532117,-58.464224299999984
29,29,PARQUE CENTENARIO,Av. Patricias Argentinas & Estivao,,,,-34.6079414,-58.4335573
114,114,TORRE MACRO, Av. Eduardo Madero 1180,,,,-34.59398891976011,-58.37142444536896
151,151,AIME PAINÉ,Av. de los Italianos 1200,,,,-34.61129829312854,-58.3591384429222
199,199,ESTADOS UNIDOS Y BOEDO,3568 Estados Unidos & Boedo Av.,,,,-34.6222601,-58.41601370000001
497,307,CERRETTI,Ceretti 2892,,,,-34.5744245,-58.4962318
572,125,BILBAO,Francisco Bilbao 2322,,,,-34.6340752,-58.45900799999999
387,278,DONATO ALVAREZ,"1540 Garcia, Juan Agustin",,,,-34.602028,-58.465568000000005
197,197,PLAZA CIUDAD DE UDINE,Mercedes 1480,,,,-34.620998,-58.493044
522,119,PLAZOLETA BENEDIT,Av. Warnes y Av. R. Scalabrini Ortiz,,,,-34.6022435,-58.44254819999999
403,316,BUENOS AIRES,Suarez 3150,,,,-34.6446835804428,-58.39387590287583
376,324,LAS VICTORIAS,Av. Gaona 4660,,,,-34.6274033,-58.48811179999999
14,14,PACIFICO,"Santa Fe Av. & Bullrich, Int. Av.",,,,-34.577424,-58.426387
21,21,PARQUE PATRICIOS,Iguazu & Uspallata,,,,-34.640111,-58.406432
581,11,PLAZA BOEDO,Sánchez de Loria1009,,,,-34.621951534228664,-58.41236636567611
525,317,ESCUELA RAGGIO,Av. Libertador 8620 (y Pico),,,,-34.536691,-58.4668133
546,143,COMUNA 7,Emilio Mitre 860,,,,-34.6313039,-58.44176059999998
91,91,PASCO,708 Pasco & Chile,,,,-34.6174482,-58.397602
535,90,HONORIO PUEYRREDON,Honorio Pueyrredón 1653,,,,-34.60251720000001,-58.449658973016376
82,82,HOSPITAL ITALIANO,394 Rawson & Potosi,,,,-34.6078917,-58.4263947
291,244,UADE,Lima 750,,,,-34.617247,-58.381627
355,242,PLAZOLETA RAFAEL DEL RIEGO,o´higins 1327,,,,-34.567483,-58.446381
556,230,AREVALO,Arévalo 1408,,,,-34.583613,-58.443602000000006
378,215,HOSPITAL ALVAREZ,Bolivia 683,,,,-34.623123,-58.468287
502,296,SAN ISIDRO LABRADOR,Av. San Isidro Labrador 4850,,,,-34.5406752,-58.4752251
134,134,SOLDADO DE LA FRONTERA,Ana Díaz 5899,,,,-34.683188,-58.468952
79,79,AZUCENA VILLAFLOR,"Villaflor, Azucena & Dealessi, Pierina",,,,-34.61189,-58.36393000000001
521,226,AV. WARNES,Av. Warnes 2150,,,,-34.59646530000001,-58.46638409999999
348,231,MARGARIÑOS CERVANTES,2465 Margariños Cervantes,,,,-34.610482,-58.474369
427,397,PARQUE SANTOJANNI,ACASSUSO 6373,,,,-34.648402,-58.51364480000001
245,248,HUSARES,Husares 2201,,,,-34.552594,-58.4429397
498,55,HABANA,Gral. José Gervasio Artigas 4298 (y Habana),,,,-34.5865976,-58.49495850000001
353,237,MADERO OFFICE,"367 Sanchez De Thompson, Mariquita",,,,-34.599036,-58.36469499999999
135,135,MARCELO T. DE ALVEAR,Esmeralda & Paraguay,,,,-34.5976425,-58.378363
544,78,TEATRO COLÓN,Cerrito 698,,,,-34.600598,-58.382361
254,276,PRIMERA JUNTA,Av. Rivadavia 5408 ,,,,-34.62079441851816,-58.4413509067459
433,273,PLAZOLETA COLOMBIA,1619 Brandsen,,,,-34.637697,-58.373726000000005
264,283,BALBIN II,Av. Dr. Ricardo Balbín y Crisólogo Larralde,,,,-34.5559308,-58.4812325
374,367,EVA PERÓN,Primera Junta 3898,,,,-34.6471,-58.46979999999999
557,241,BIBLIOTECA NACIONAL,Austria 2690,,,,-34.583409,-58.397735
63,63,RECONQUISTA,Viamonte 555,,,,-34.59977772506695,-58.37468663054962
458,219,PARQUE CHACABUCO II,AV. ASAMBLEA 1400,,,,-34.63642574842393,-58.44400690036917
553,210,JOSE LEON CABEZON,José León Cabezón 2516,,,,-34.5801918,-58.50094170000001
307,341,COMUNA 4,AV PERITO MORENO 2881,,,,-34.6499971,-58.42477299999999
70,70,ARAOZ,1413 Araoz & Gorriti CABA,,,,-34.5926862,-58.4260597
6,6,PARQUE LEZAMA,"Avenida Martin Garcia, 295",,,,-34.628526,-58.369758
46,46,CHILE,Perú 718,,,,-34.6163729,-58.37436969999998
482,376,PASEO DE LA COSTANERA,Av. Costanera Rafael Obligado 6200,,,,-34.550468,-58.430024
65,65,JULIÁN ÁLVAREZ,3822 Guemes,,,,-34.5873124,-58.4157873
487,239,AVENIDA CRAMER,Av. Cramer 2900,,,,-34.55813699999999,-58.46725929999999
379,390,DE LOS OMBUES,Av. de los Ombúes 300,,,,-34.5602,-58.4281
519,53,AV. DEL LIBERTADOR,Av. Del Libertador 100,,,,-34.59291496187579,-58.375442711639394
83,83,PARANÁ,1590 Lavalle,,,,-34.603269,-58.3893728
260,371,PASEO DE LAS AMERICAS,Av. Pres Figueroa Alcorta 6400,,,,-34.5530794109,-58.43522348866
269,260,SAN MIGUEL DE GARICOITS,"Delgado & Loreto, Virrey",,,,-34.577329,-58.45779900000001
188,373,JORGELINA DE SIMONE,Cochabamba 1799,,,,-34.62393,-58.39124999999999
493,208,NICASIO OROÑO,Nicasio Oroño 2598,,,,-34.5967435,-58.4594031
574,321,EZEIZA,Ezeiza 2751,,,,-34.575733,-58.50922800000001
323,240,ECHEVERRIA,1981 Vidal,,,,-34.565409,-58.459298
472,310,FREIRE II,Tte. Gral Ramón Freire 1003,,,,-34.5751286,-58.45275609999999
3,3,ADUANA,Av. Paseo Colón 380,,,,-34.61220714255728,-58.369129063789
408,364,CERRETTI Y MANUELA PEDRAZA,Ceretti 3407,,,,-34.56912,-58.50025
531,48,JOSE AMALFITANI,Av. Juan Bautista Justo 6383,,,,-34.63362230949344,-58.52125773107453
559,299,ALVEAR TENIS CLUB,C. José E. Rodo 4190,,,,-34.64142,-58.48239999999999
418,345,PLAZA MAFALDA,Conde & Concepción Arenal,,,,-34.5809383,-58.44458039999999
73,73,RUY DÍAZ DE GUZMÁN,Avenida Martin Garcia y Ruy Díaz de Guzmán,,,,-34.6306814,-58.3718235
489,288,SECRETARÍA DE DEPORTES,AV LIBERTADOR 7100,,,,-34.5476039,-58.4565662
589,16,MUSEO DEL AGUA,Viamonte 1994,,,,-34.6009819,-58.395456800000005
335,206,GALICIA,2502 Galicia,,,,-34.615945,-58.47098
499,286,FILOSOFIA Y LETRAS,José Bonifacio 1407,,,,-34.62855635090828,-58.4468139680066
17,17,PLAZA ALMAGRO,"441 Bulnes & Peron, Juan Domingo, Tte. General",,,,-34.6064101,-58.4187306
504,214,MORÓN,Morón 3089,,,,-34.6247196,-58.47518040000001
567,228,UNIVERSIDAD DEL SALVADOR,Marcelo Torcuato de Alvear 1335,,,,-34.59694268462008,-58.38593823736496
66,66,BILLINGHURST,3508 Carcova,,,,-34.5945475,-58.4138713
364,381,MATIENZO Y ARCE,Teniente Benjamín Matienzo 1998,,,,-34.570161,-58.43558
99,99,MALABIA,780 Malabia & Loyola,,,,-34.5960961,-58.43540800000001
417,127,PLAZA LEONARDO N. ALEM,Cochrane 2407,,,,-34.57634,-58.502480000000006
150,150,RODRIGO BUENO,Av. España 2200,,,,-34.6187547,-58.3554654
322,289,MONTAÑESES,2786 Montañeses,,,,-34.551304,-58.454181
228,10,MADERO UCA,"1600 Moreau De Justo, Alicia Av.",,,,-34.6164879,-58.3656683
44,44,ECOPARQUE,"Av. Del Libertador, 3260",,,,-34.5755148,-58.4138829
367,287,BELAUSTEGUI,Belaustegui 2910,,,,-34.616659000738366,-58.47770598650817
49,49,33 ORIENTALES,Constitución 4288,,,,-34.629176084274704,-58.42481977731553
